Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,8e-06,19.944203,[21 41] ; [31  8],[31.92079208 30.07920792] ; [20.07920792 18.92079208],1
s8,1,1e-05,19.54891,[ 7 55] ; [20 19],[16.57425743 45.42574257] ; [10.42574257 28.57425743],1
s7,1,1.6e-05,18.580564,[10 47] ; [23 15],[19.8 37.2] ; [13.2 24.8],1
s6,1,5.4e-05,16.293696,[19 43] ; [28 11],[28.85148515 33.14851485] ; [18.14851485 20.85148515],1
n3,1,0.042663,4.108696,[19  4] ; [6 6],[16.42857143  6.57142857] ; [8.57142857 3.42857143],0
d1,1,0.046829,3.951533,[24 38] ; [23 16],[28.85148515 33.14851485] ; [18.14851485 20.85148515],0
n5,1,0.050652,3.819748,[29 33] ; [26 13],[33.76237624 28.23762376] ; [21.23762376 17.76237624],0
n6,1,0.074159,3.188478,[37 25] ; [30  9],[41.12871287 20.87128713] ; [25.87128713 13.12871287],0
d3,1,0.074159,3.188478,[37 25] ; [30  9],[41.12871287 20.87128713] ; [25.87128713 13.12871287],0
n4,1,0.078522,3.095238,[39 23] ; [31  8],[42.97029703 19.02970297] ; [27.02970297 11.97029703],0
p10,1,0.083042,3.004335,[15 46] ; [16 23],[18.91 42.09] ; [12.09 26.91],0
d4,1,0.08747,2.920334,[38 22] ; [31  8],[41.81818182 18.18181818] ; [27.18181818 11.81818182],0
p11,1,0.110782,2.543032,[33 29] ; [27 12],[36.83168317 25.16831683] ; [23.16831683 15.83168317],0
v4,1,0.158447,1.988987,[54  6] ; [38  1],[55.75757576  4.24242424] ; [36.24242424  2.75757576],0
p8,1,0.160404,1.970411,[23 39] ; [20 19],[26.3960396 35.6039604] ; [16.6039604 22.3960396],0
v3,1,0.175011,1.839491,[14 46] ; [14 25],[16.96969697 43.03030303] ; [11.03030303 27.96969697],0
n1,1,0.191695,1.704545,[ 9 13] ; [2 9],[ 7.33333333 14.66666667] ; [3.66666667 7.33333333],0
u1,1,0.204461,1.61022,[ 7 55] ; [ 8 31],[ 9.20792079 52.79207921] ; [ 5.79207921 33.20792079],0
s5,1,0.231773,1.429948,[10 51] ; [10 28],[12.32323232 48.67676768] ; [ 7.67676768 30.32323232],0
p4,1,0.232316,1.426625,[29 33] ; [23 16],[31.92079208 30.07920792] ; [20.07920792 18.92079208],0
p7,1,0.233597,1.418824,[35 27] ; [26 12],[37.82 24.18] ; [23.18 14.82],0
p3,1,0.24352,1.3601,[19 43] ; [16 22],[21.7 40.3] ; [13.3 24.7],0
a3,1,0.256944,1.285147,[31 31] ; [24 15],[33.76237624 28.23762376] ; [21.23762376 17.76237624],0
p6,1,0.301318,1.068354,[15 46] ; [13 25],[17.25252525 43.74747475] ; [10.74747475 27.25252525],0
b2,1,0.304199,1.055695,[ 7 29] ; [ 8 18],[ 8.70967742 27.29032258] ; [ 6.29032258 19.70967742],0
b3,1,0.304199,1.055695,[ 7 29] ; [ 8 18],[ 8.70967742 27.29032258] ; [ 6.29032258 19.70967742],0
s4,1,0.316467,1.003492,[10 52] ; [ 9 28],[11.8989899 50.1010101] ; [ 7.1010101 29.8989899],0
s1,1,0.326226,0.963822,[ 1 59] ; [ 2 37],[ 1.81818182 58.18181818] ; [ 1.18181818 37.81818182],0
d5,1,0.340379,0.909002,[44 18] ; [31  8],[46.03960396 15.96039604] ; [28.96039604 10.03960396],0
v2,1,0.366901,0.814134,[24 37] ; [18 19],[26.14285714 34.85714286] ; [15.85714286 21.14285714],0
n2,1,0.407016,0.6875,[15  7] ; [9 2],[16.  6.] ; [8. 3.],0
a2,1,0.432913,0.614997,[ 9 53] ; [ 8 31],[10.43564356 51.56435644] ; [ 6.56435644 32.43564356],0
b1,1,0.469522,0.5231,[32 30] ; [23 16],[33.76237624 28.23762376] ; [21.23762376 17.76237624],0
a8,1,0.499439,0.456129,[ 4 51] ; [ 4 31],[ 4.88888889 50.11111111] ; [ 3.11111111 31.88888889],0
p1,1,0.506026,0.442276,[ 4 57] ; [ 4 35],[ 4.88 56.12] ; [ 3.12 35.88],0
r2,1,0.533691,0.387359,[53  9] ; [35  4],[54.01980198  7.98019802] ; [33.98019802  5.01980198],0
r1,1,0.542827,0.370325,[46 16] ; [31  8],[47.26732673 14.73267327] ; [29.73267327  9.26732673],0
d2,1,0.550132,0.357081,[26 35] ; [19 20],[27.45 33.55] ; [17.55 21.45],0
b4,1,0.639089,0.219935,[41 21] ; [24 15],[39.9009901 22.0990099] ; [25.0990099 13.9009901],0
r3,1,0.714836,0.133494,[55  6] ; [36  3],[55.51  5.49] ; [35.49  3.51],0
r4,1,0.806364,0.060084,[48 14] ; [31  8],[48.4950495 13.5049505] ; [30.5049505  8.4950495],0
v1,1,0.816771,0.053685,[24 38] ; [16 23],[24.55445545 37.44554455] ; [15.44554455 23.55445545],0
b5,1,0.816771,0.053685,[38 24] ; [23 16],[37.44554455 24.55445545] ; [23.55445545 15.44554455],0
a7,1,0.819221,0.052234,[42 19] ; [26 13],[41.48 19.52] ; [26.52 12.48],0
a4,1,0.819221,0.052234,[19 42] ; [13 26],[19.52 41.48] ; [12.48 26.52],0
u2,1,0.832988,0.044466,[15 15] ; [8 7],[15.33333333 14.66666667] ; [7.66666667 7.33333333],0
u3,1,0.912804,0.011991,[16 15] ; [8 7],[16.17391304 14.82608696] ; [7.82608696 7.17391304],0
a6,1,0.9663,0.001785,[40 22] ; [25 14],[39.9009901 22.0990099] ; [25.0990099 13.9009901],0
a5,1,0.996744,1.7e-05,[35 27] ; [22 17],[34.99009901 27.00990099] ; [22.00990099 16.99009901],0
